,song_title,album_name,lyrics
137,Four Fingered Fisherman,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Four Fingered Fisherman LyricsYou're in the back seat and you say to yourself
""Okay, it doesn't matter anyway""
It's weeds pulling weeds and you're blaming yourself
Okay, we're all indifferent in our own ways
You're in trouble now, and you say to yourself
Okay, my baby clean conscience, anyway

You're in the back seat and you say to yourself
""Okay, it doesn't matter anyway""
It's weeds pulling weeds and you're blaming yourself
Okay, we're all indifferent in our own ways
You're in trouble now and, you say to yourself
Okay, my baby clean conscience, anyway

Four-fingered fisherman alright
Fingers four fisherman, so uptight, though
You're getting on no one, you're both right
Four fingered fisherman all night long
Four fingered fisherman, so uptight, though
So uptight, thoughEmbed"
138,Interlude (Milo),Good News for People Who Love Bad News,
139,History Sticks to Your Feet,No One’s First and You’re Next,"History Sticks to Your Feet Lyrics[Chorus]
At the movies, eyes iced over
Walking sideways through them gutters
And you realize that the floor sticks to your feet like history
Well, don't you look at me
Like life don't hold you anymore mystery

[Verse 1]
Bag of splinters boiling over
On your back, expose your belly
Optimism doesn't change the facts
Just what you're gonna see
Like it was stated that we're walking salt and coal
Plants solidify sunshine, how this start I don't know
Causing feet and entire chain shoe stores
The sun's diary pulled up from deep canary holes
And when we read it, our skin, it becomes warm
[Chorus]
At the movies, eyes iced over
Walking sideways through the gutter
And you realize life sticks to your feet, you're history
I'm gonna slap that look off your face
Like life don't hold no mystery

[Verse 2]
All those red marks on our shoulders
Self back-patting, homemade trophies
Well, the past only exists as tiny bricks
We burn to release all, it's memory
I've had enough with rolling boulders, I want more moss on me
Clocks to splinters but time goes forward
And when them tree drop leaves your feet collect their memories
I guess all us snakes find our tails pretty damn tasty

[Verse 3]
I heard you mention that we're walking salt and coal
Plants solidify sunshine, how this start I don't know
Causing feet and entire chain shoe stores
The sun's diary pulled up from deep canary holes
And when we read it, our skin, it becomes warm

[Chorus]
At the movies, eyes iced over
Walking sideways through the gutter
And you realize life sticks to your feet, you're history
I'm gonna slap that look off your face
Like life don't hold no mystery1Embed"
140,Mice Eat Cheese,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Mice Eat Cheese LyricsWhat are you doing here?
I came to get a case of factory outlet beer
Then I go home
I don't feel like I wanna be by myself
Mice eat cheese
And for the most part they do as they please
But cat comes home
Mice don't feel very free to walk around
Walk aroundEmbed"
141,Horn Intro,Good News for People Who Love Bad News,
142,The Waydown,The Fruit That Ate Itself,"The Waydown Lyrics[Verse 1]
On the way down, they saw a lot they don't remember
And if you asked them how, they couldn't say how they got there
And if you want them now, you could just pull on the lever
And say, ""I'm hung up on gravity""
You move your mouth and you start to talk
You close your eyes and then lose the thought
What's mine is mine and what's yours you probably got
And we all fall

[Verse 2]
On the way down, they saw a lot they don't remember
And if you asked them how, they'd say that gravity's how they got there
And if you want them now, you could just pull on the lever
And say, ""I'm hung up on this decade""
They bounced themselves off schools and halls
They created pagers to collect all their calls
What's mine is mine and what's yours and we all always fall
And we fallEmbed"
143,Summer,The Fruit That Ate Itself,"Summer Lyrics[Verse 1]
Wake up, we're stealing cars
And we're gonna bust into bars
All 1996 & 1997, 1998
We're all waiting for the year 2000

[Pre-Chorus]
Just the smell of the summer can make me fall in love
Just the smell of the summer can make me fall in love

[Chorus]
We go to the parties and listen to the DJs
Dance, dance, dance, and go crazy
Dance, dance, dance, and go crazy
We go to the parties and listen to the DJs
Dance, dance, dance, and go crazy
Dance, dance, dance, and go crazy
[Interlude]
Damn, who's paging me now?

[Verse 2]
She's a party queen, and she's in party heaven
Her clock is stuck on late
Got a first name basis at 7-11

[Chorus]
We go to the parties and listen to the DJs
Dance, dance, dance, and go crazy
Dance, dance, dance, and go crazy

[Pre-Chorus]
Just the smell of the summer can make me fall in love
Just the smell of the summer can make me fall in love

[Verse 3]
Hold the slip-slide, taste the sweat, it's salty
Irrigation ditch and a swimming hole
Nation-wide loved the movie

[Pre-Chorus]
Just the smell of the summer can make me fall in love
Just the smell of the summer can make me fall in love1Embed"
144,Think Long,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Think Long Lyrics[Chorus]
Ping-pong, ping-pong
Ping-pong, ping-pong

[Verse]
Sit and think for a while
And you'll realize that you'll still die
(Da-da-da-da-da-dum)
If you're not thinking at all
I'm not sure why you're alive

[Chorus]
Ping-pong, ping-pong, ping-pong

[Verse]
Sit and think for a while
And you'll realize that you'll still die
(Da-da-da-da-da-dum)
If you're not thinking at all
I'm not sure why you're alive
[Chorus]
Ping-pong, ping-pong
Ping-pong, ping-pong
Ping-pong, ping-pongEmbed"
145,Perpetual Motion Machine,No One’s First and You’re Next,"Perpetual Motion Machine Lyrics[Verse 1]
Daniel read the paragraph
He read until the words ran out
It said, ""We're all in trouble now""
Poison in the juice carafe
We drank until our thirst ran out
Oh no, we're in some trouble now

[Chorus]
Everyone wants to be a perpetual motion machine
We all try harder as the days run out
We all try harder as the days run out
We all try harder as the days run out

[Verse 2]
With your teeth to your lips
And your hair to the ground
Well, you hear the fish and they're making this sound
Saying, ""We just want to go on walking around
And feel what it's like to fall down""
[Verse 3]
Patrick ran the race
Yeah, he ran until the tire ran out
Oh no, I'm in some trouble now
Tried to kick it over
I tried until the juice ran out
Oh no, we want more trouble now
Teeth to your lips
And your hair to the ground
Well, you hear the fish and they're making this sound
Sayin', ""We just want to go on walking 'round
And feel what it's like to fall down""
I saw

[Chorus]
Everyone wants to be a perpetual motion machine
We all try harder as the days run out
We all try harder as the days run out
We all try harder as the days run out1Embed"
146,Buttons to Push the Buttons,"White Lies, Yellow Teeth","Buttons to Push the Buttons Lyrics[Verse 1]
Piglet has whiskers that know
It could laugh right off the desk
Laptop computers know it was the fodder
That got them jobs
Featherweight fathers
Know nothing about daughters
And sons be damned

[Verse 2]
The rest of those buttons are pushing themselves
To an early grave
Parcels meets presents means business needs pleasure, so
We all got jobs
Blind-spot opinions reach millions of readers
And they pass the thoughts
[Verse 3]
My fear of growing up is confirmed
When I'm dealin' with folks like managers
And the sad minds unwind
And are given the thoughts of happiness
And the broken hearts ring loud
I’m who’s giving you thoughts of happinessEmbed"
147,Dirty Fingernails,The Fruit That Ate Itself,"Dirty Fingernails Lyrics[Chorus]
Dirty, dirty fingernails
Dirty, dirty fingernails
Out of the shower, on to the bathroom floor
Out in the kitchen, underneath the casserole
Dirty, dirty fingernails
Dirty, dirty fingernails
Out of the shower, on to the bathroom floor
Out in the kitchen, underneath the casserole
Dirty, dirty fingernails
Dirty, dirty fingernails
Dirty, dirty fingernails
Dirty, dirty fingernails
(It takes a lot of energy to make that sound)
Out of the shower, on to the bathroom floor
(It takes a lot of energy to make that sound)
Out in the kitchen, underneath the casserole
(It takes a lot of energy to make that sound)
Out on the patio, out in the great outdoors
Dirty, dirty fingernails
Dirty, dirty fingernails
Dirty, dirty fingernails
Dirty, dirty fingernails
Out of the shower, on to the bathroom floor
Out in the kitchen, underneath the casserole
Out on the patio, out in the great outdoors
[Outro]
Dirty, dirty fingernails
Dirty, dirty fingernails
Dirty, dirty fingernails
Dirty, dirty fingernailsEmbed"
148,I’m Still Here,"Poison the Well (Record Store Day 7"")","I’m Still Here Lyrics[Verse 1]
So you went to make a call, well, they must've hung up
'Cause I see you're talking to him right there
Oh, I knew I was a little messed up
But I guess it's much worse than I feared

[Chorus]
'Cause I'm still here
I'm still here
I am still here

[Verse 2]
Your friends are all rollin' their eyes and you're laughing
Well, yeah, I know what's what
I love to joke just like anybody
But I don't like being the butt
[Chorus]
'Cause I'm right here
I'm still here
I am still right here

[Verse 3]
Your eyes are dartin' around and you're looking right past me
For something else that's near
Well you must've powdered your nose just a little too much
'Cause I'm still here
I know that you told me you were a little bit drunk
But I think it's much worse than you feared
Well, you're making me feel like a dog-catcher
But hell, you invited me here

[Outro]
Why am I here?
Why am I here?
Why am I here?
AlrightEmbed"
149,Secret Agent X-9,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Secret Agent X-9 Lyrics[Verse 1]
Got a race car grin and a calculation
An elegant gun for a secret agent
Defunct that time bomb
At the space station

[Verse 2]
Hey, Secret Agent X-9
Why don't you drop me a line?
And say, would it cost you your job
To say what was in that gold box?

[Verse 3]
So why did they give you that job?
And why can they give you that job?
You think this guy was on a permanent vacation
But no he's not, he's a secret agentEmbed"
150,Australopithecus,Sad Sappy Sucker,"Australopithecus Lyrics[Verse]
Australopithecus, friend to the end
But it's over, over, over again
You wanted to chase around the cat and the dog
While they're playing like that
And I said, ""What's the matter, friend?""
Australopithecus, friend to the end but...1Embed"
151,5-4-3-2-1 Lisp Off,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"5-4-3-2-1 Lisp Off Lyrics[Intro]
Well, look at that
You look so tiny from up here
Like a cute little bug

[Verse]
Whatcha do, whatcha do, whatcha do with your own life
(Oh, the Tang is delicious!)
Whatcha see, whatcha see, whatcha see as an astronaut, okay
Whatcha eat, whatcha eat, whatcha eat as an alien
Whatcha want, whaddaya want from outer spaceEmbed"
152,Race Car Grin You Ain’t No Landmark,Sad Sappy Sucker,"Race Car Grin You Ain’t No Landmark Lyrics[Verse 1]
Looks like accounting's not accountable
For anything or anyone at all
Johnny took the fall
Johnny took the fall

[Verse 2]
I know the horse was fast, ran the real big track
One by one, without heart attack, oh no
A tight line just went slack
A tight line just went slack

[Verse 3]
He's got a race car grin, all smiling chin
Your words are no longer going to bother him that much
He's got the Midas touch
[Verse 4]
Hey now, what's the scoop on what's-his-face?
Got a backwater nothing but he runs the place from halls
Runs it from the halls1Embed"
153,Your Life,Night on the Sun,"Your Life Lyrics[Song Notes]
This song is also known as the older name: ""Your Life""

[Verse 1]
Everyone's afraid of their own life
If you could be anything you want, I bet you'd be disappointed, am I right
No one really knows the ones they love
If you knew everything they thought, I bet you'd wish that they'd just shut up

[Verse 2]
Well, you were the dull sound of sharp math when you were alive
No one's gonna play the harp when you die
And if I had a nickel for every damn dime
I'd have half the time, do you mind?

[Chorus]
Everyone's afraid of their own lives
If you could be anything you want, I bet you'd be disappointed, am I right
Am I right, am I right, am I right
Am I right, am I right, am I right
It's our lives
It's hard to remember, it's hard to remember
We're alive for the first time
It's hard to remember, it's hard to remember
We're alive for the last time

It's hard to remember, it's hard to remember
To live before you die
It's hard to remember, it's hard to remember
That our lives are such a short time

It's hard to remember, it's hard to remember
When it takes such a long time
To live, before you die
It's hard to remember
It's hard to remember

[Verse 3]
My mom's God is a woman and my mom, she is a witch
I like this
My hell comes from inside, comes from inside myself
Why fight this

[Chorus]
Everyone's afraid of their own life
If you could be anything you want, I bet you'd be disappointed, am I rightEmbed"
154,Red Hand Case,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Red Hand Case Lyrics[Chorus]
Blame it on the red hand's weight
Getting hateful, a little fed up, oh no
Sent you a note from my cage
""I need a carton of cigarettes to stay shut up""

[Instrumental Break]

[Chorus]
Blame it on the red hand's weight
Getting hateful, a little fed up, oh no
Sent you a note from my cage
""I need a carton of cigarettes to stay shut up""

[Verse]
I guess that's just the red hand's fate
I wish that I'd have stayed shut up
Oh no!
Oh no!Embed"
155,Edit the Sad Parts (Live),Interstate 8,"Edit the Sad Parts (Live) Lyrics[Verse 1]
Sometimes all I really want to feel is loved
Sometimes I'm angry that I feel so angry
Sometimes my feelings get in the way
Of what I really feel I needed to say

[Chorus]
If you stand in a circle
Then you'll all have a back to bite
Backlogged books on the seven wonders
We're all so funny but it's lost its charm now
All communications end in one line jokes
From stand up comics and rock musicians
Making so much noise you don't know when to listen

[Verse 2]
Why are you judgin' people so damn hard?
You're taking your point of views a bit too far
I made my shoes shine with black coal
But my polish didn't shine the hole
[Chorus]
If you stand in a circle
Then you'll all have a back to bite
Backlogged books on the seven wonders
We're all so funny but it's lost its charm now
All communications end in one line jokes
From stand up comics and rock musicians
Making so much noise you don't know when to listen

[Outro]
Think it over, there's the air of the height of the high rollers
Think it over, you ain't got nothing 'til you know her
Think it over, there's the air of the height of the high rollers
Think it over, there's the air, there's the airEmbed"
156,Every Penny Fed Car,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Every Penny Fed Car Lyrics[Verse]
So you spilled every last penny into the car
And it still won't take you where you want to go
So you spilled every last penny into the car
And it still won't take you very far at all

[Verse]
So you spilled every last penny into the car
And it still won't even barely leave your home
So you spilled every last penny into the car
And it still won't take you where you need to go

[Verse]
So you spilled every last penny into the car
And it still won't even barely leave your home
So you spilled every last penny into the car
And it still won't take you anywhere at all2Embed"
157,"Blue Cadet-3, Do You Connect?",Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Blue Cadet-3, Do You Connect? LyricsBlue cadet 3, do you connect?
Blue cadet 3, do you connect?
Blue cadet 3
Do you connect?1Embed"
158,Path of Least Resistance,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Path of Least Resistance Lyrics[Verse]
Gone fishin'
I'm takin'
The path of least resistanceEmbed"
159,Call To Dial-a-Song (Left by Spencer Moody),Sad Sappy Sucker,"Call To Dial-a-Song (Left by Spencer Moody) Lyrics[Verse]
Well, I might be a lot of things but I won't be ignored
When I see you coming, the chariots of the Lord
Well, the pale horses are riding and the Judgment Day's at hand
And I'm waiting for the good Lord to take me by the hand
Hey Isaac, this is Spencer
Um, I'm calling about, uh, going to Montana
Um, so you need to give me a ring here
And so we can work out some of those details
And stuff cause it could get kind of hairy or whatever
So, uh, give me a call, alright then, bye, byeEmbed"
160,The Air,Everywhere and His Nasty Parlour Tricks,
161,Beta Carotene,Rarities and Unreleased Material (Unofficial),"Beta Carotene LyricsI got myself the means
I got myself what I call the beta carotene
Perspire from all the strings
I never had enough, enough to keep you stringing along

And by the pool side
I watch the summer and the thought of the last ends it, bye
Sometimes you give so many lifts, well
Sometimes you know you're gonna have to gonna get a ride

I need to knock the ride, uh oh oh
Ain't on your friends, all they'll say is no, you know your line and
You'll say, oh no, you know, you know, you know, you know you're right

I got myself the means
I got myself what I call the beta carotene
Perspire from all the strings
I, I never had enough, enough to keep you stringing along
And by the pool side
I watch the summer and the thought of the last ends it, bye
And sung so many lifts
You know, know, know, know, know, know, know you're gonna have to go and get a ride
Gonna have to tell and get a ride
Have to go and get a ride
Gonna have to, gotta get a ride
Gonna have to, gotta get a ride

And if you go in the water
My family
I know my heart will dry over
And head, he needs to tell

I'm on the drone, low
Living it right and
I'm never anywhere
And I never feel somewhere, don't you know?
Oh no, I never feel somewhere, don't you know?
Oh no, I never

(And now the water's right)
Oh no, I know
Oh no, oh no
What was almost
Oh no, I know, I know
No, I know, I know, what it was
You have hung on, I know, waterslide and
Hell to pay
Heaven is a collection agency
I feel heaven, heaven's a collection agency
Got the eye eye eye eye eye eye eye upon the pavementEmbed"
162,Woodgrain,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Woodgrain Lyrics[Chorus]
Ah-ah-ah
Ah-ah-ah

[Verse 1]
You've got wood grain, I've got nothing
You've got the water coming out of your head

[Chorus]
Ah-ah-ah
Ah-ah-ah

[Verse 2]
Find something to do and we'll share our issues
Find something to do when we're nearly dead
[Chorus]
Ah-ah-ahEmbed"
163,Wagon Ride Return,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Wagon Ride Return LyricsHopped on the wagon
Went two feet
Now I'm back again
I hit a hard wall
Shout two words
I don't understandEmbed"
164,Sin Gun Chaser,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Sin Gun Chaser Lyrics[Verse]
Make us depressed or just sad
Make us happy or something
I am your sin gun chaser changer1Embed"
165,Broke (Live),Interstate 8,"Broke (Live) Lyrics[Verse 1]
Broke account so I broke a sweat
I've bought some things that I sort of regret, about now
Broke my pace and ran out of time
Sometimes I'm so full of shit that it should be a crime
Broke a promise 'cause my car broke down
Such a classic excuse it should be bronze by now
Broke up and I'm relieved somehow
It's the end of the discussions that just go 'round and 'round
And 'round, and 'round, and 'round, and 'round, and 'round, and 'round
It shouldn't have been anyway, no way, no way, no way, that's right

[Verse 2]
Hah-oh-hah-oh, hah-oh-hah-oh no
Hah-oh-hah-oh, hah-oh-hah-oh no
Hah-oh-hah-oh, hah-oh-hah-oh no
It was extremely kind, in a tiny plastic jar
[Verse 3]
You're livin' on fancy wine
You'll drink that turpentine
You're startin' conversations
You don't even know the topicEmbed"
166,Dead End Job at the Dead Letter Office,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Dead End Job at the Dead Letter Office Lyrics[Verse 1]
Dead end job at the dead letter office
I seem so sad but I am so sick, so sick
Dead end life with a bad plan, bland script
I hope you know that I am doing the best I can

[Chorus]
Oh, I know I've made decisions
I am wrong
Oh, I know I've made the wrong decision
I am wrong

[Post-Chorus]
So you wonder, wonder how
How I get here, got here now
Well I put on my shoes and socks
Goddamn, if I'd walked here tick for tock
So you wonder, wonder how
How I get here, got here now
[Verse 2]
Dead end job at the dead letter office
I seem so sad but I am so sick, so sick
Dead end life with a bad plan, bland script
I hope you know that I am doing the best I can

[Chorus]
Oh, I know I've made decisions
I am wrong
Oh, I know I've made the wrong decision
I am wrong

[Post-Chorus]
So you wonder, wonder how
How I get here, got here now
Well I put on my shoes and socks
Goddamn, if I'd walked here tick for tock

[Chorus]
Oh, I know I've made the wrong decision
I am wrong
Oh, I know I've made the wrong decision
I am wrong2Embed"
167,Swy,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Swy Lyrics[Verse 1]
You're no one
You're going nowhere
You got a fast car

A, E, I, O, U, and sometimes Y
A, E, I, O, U, and sometimes Y
A, E, I, O, U, and sometimes Y
A, E, I, O, U, and swy, no YEmbed"
168,BMX Crash,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"BMX Crash Lyrics[Verse]
Trailer park bike racing
Goddamn, didn't we go fast?
Trailer park bike racing
Oh no, at night we'll crash
(Oh, uh oh, I think I left a scratch)Embed"
169,Sucker Bet,Sad Sappy Sucker,"Sucker Bet Lyrics[Verse 1]
My race car winding down
There's another sucker bet
My mind minding
So in debt

[Verse 2]
So bored and timely that
I'll have to burn another cigarette
We're now finding you
So in debtEmbed"
170,Black Blood & Old Newagers,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Black Blood & Old Newagers Lyrics[Verse]
Black blood and old new agers
When will it become the waivers?
Shickleficks throughout the ages
I've written a lot of pagesEmbed"
171,Sunspots,The Fruit That Ate Itself,
172,An Apology from Dog to Cat,"Tube-Fruit, All Smiles and Chocolate","An Apology from Dog to Cat Lyrics[Verse]
I'm sorry, sweet kitten, going through such a bad time
(I'm brushing my teeth now, I'm brushing my teeth now)
I didn't mean to go through, I knew I'm such a bad liar
And like tomorrow
(I'm brushing my teeth now, I'm brushing my teeth now)
I'm sorry, sweet kitten, going through such a sad time
And I've been through
(I'm brushing my teeth now, I'm brushing my teeth now)
I'm going through my mind
I haven't got a chance to remember
I haven't got a chance to remember
Sorry, sweet kitten, go through such a hard floor
I know, wouldn't want it, it didn't have much more
But when you gonna go and say my name?
Back on the tape recorder
I'm brushing my teeth now, I'm brushing my teeth in the afternoonEmbed"
173,Beach Side Property (Live),Interstate 8,"Beach Side Property (Live) Lyrics[Verse 1]
""Wow,"" said the broken Californian down
On the beach that used to be by the beach
Ground sure don't like the way it's treated
So now it's moving back to the sea
Plans to hitch a ride with the river
'Cause deep down plumbing life is too cramped for me

[Verse 2]
I got wood legs and bow legs, and no legs at all
Damn, would you take a collect call, oh no, I don't understand
I got poor eyes and sore eyes, and no eyes at all
Oh, would you like to take the fall, oh no, I don't like this plan
It was a staple of brass tacks and wax backs
A message left on the forehead of God
[Verse 3]
Sent sealed and signed by the saints
Who sang this song, this song
This song, this song

[Verse 4]
We're going union like they say, we'll buy the congregation
Then one day you'll find us sitting in your chair
With big ideas of stocks and shares, we're going union
We're going union like they say, we'll buy the congregation
Then one day you'll find us sitting in your chair
With big ideas of stocks and shares, we're going union, unionEmbed"
174,That’ll Be The Day,Rave On Buddy Holly,"That’ll Be The Day LyricsThat'll be the day that I die
That'll be the day when you make me cry
You say you're gonna leave me, you know it's a lie

Well, you give me all your lovin' and all your turtle dovin'
All your hugs and kisses, and your money too
Oh, you know you love me, baby, still you tell me, maybe
That some day, well, I'll be through

That'll be the day when you say goodbye
Yeah, that'll be the day when you make me cry
You say you're gonna leave me but you know that's a lie
'Cause that'll be the day, the day that I die

Well, that'll be the day when you say goodbye
That'll be the day when you make me cry
You say you're gonna leave me but you know that's a lie
Well, when cupid shot his darts
He shot them right at your heart
So if ever we'll part then I'll leave you

You sit and you hold me
And still you tell me boldly
That some day, well, I'll be blue

That'll be the day when you say goodbye
Yeah, that'll be the day when you make me cry
You say you're gonna leave but you know that's a lie
'Cause that'll be the day, the day when I die

Well, that'll be the day when you say goodbye
You say you're gonna leave you know that's a lie
'Cause that'll be the day, the day that I dieEmbed"
175,Fruit,The Fruit That Ate Itself,
176,Buttons to Push the Buttons (Live),Interstate 8,"Buttons to Push the Buttons (Live) Lyrics[Verse 1]
Piglet has whiskers but know it could laugh right off the desk
Laptop computers know it was the fodder that got them jobs
Featherweight fathers know nothing 'bout daughters and sons be damned

[Verse 2]
The rest of the buttons are pushing themselves to an early grave
Parcels means presents means visits means pleaure so, we all got jobs
Blindspot opinions reach millions of readers and they pass their thoughts

[Verse 3]
My fear of grown-ups confirmed
When you deal with folks like managers
And the sad lines unwind
And are given to thoughts of happiness
[?]
And I'm given to thoughts of happinessEmbed"
177,Feelings,Demos Given to Chris Early by Eric Judy,"Feelings LyricsOh no, and it's the sad-sort-of-angry I get when I'm with you
Oh yeah, and it's the happy nothing we always seem to do
Oh no, and it's a new definition of love/lust coming through
Oh yeah, and it's the loud sound of lonely that always brings me through

Oh, and I'm feeling lost in everything
Oh, and I need to be left all alone

Oh, and I'm feeling lost in everything
Oh, and I need to be left all alone
Oh yeah, and it's a new definition of love/lust coming through
Oh yeah, and it's the happy nothing we always seem to do

Oh, and I'm feeling lost in everything
Oh, and I need to be left all alone
Oh no, and it's the sad-sort-of-angry I get when I'm with you
Oh yeah, and it's a lot of lonely that always brings me throughEmbed"
178,Calculus Man,Rarities and Unreleased Material (Unofficial),"Calculus Man LyricsOh, the stars, they shine on; they get out of my eye
The stars, they shine on; they shine on this planet
And the stars are projectors
Projectin' our lives on down to this planet
The stars, they are on
And projecting our lives down to this planet
Fine, I don't care if they do

And the stars
They're projecting our lives onto this planet
Oh yeah, the films we're watching
As you have said now
You get on your knee, your mouth is my mood
If you were talkin' out loud
You'd say, ""Oh, hey, what it do?""
And I can't find my mouth
And my words, they can't make it
To my mouth out of all my brain
And you say what to do
And we do what you said
And you're talking out of tune
Talking out of a threat I won't want
I get on, I get off
I get the things you don't want

And I walk through my head
And I walk through my hell
And I walk through my head
And I know I ain't going nowhere
And I talk to myself
And I talk to my head
I'm walking around
The planets, they revolve around themselves; they evolve
If you were talking to God, you were talking to Mom
And you were saying things
Now, your mouth was moving
Out loud, you said, ""I can't.""

The planets are projectin' us all around
And the stars
They're projecting our lives on this earth
And the stars are projectors
Projecting our lives onto this earth
I watch you play it out
You moved your mouth and you said what you were worthEmbed"
179,Lil Ingy Focksten,Sad Sappy Sucker Chokin on a Mouthful of Lost Thoughts,"Lil Ingy Focksten Lyrics[Verse 1]
You read a lot into it
I never even flip right through it
So whatcha gonna do with
All this stuff that's scribbled to you?
You say ""There's nothin' new,""
And, oh my God, that might be true
So whatcha think you're gonna do
That worthwhile when there's nothin' new?

[Pre-Chorus 1]
Oh my God, I concede
But it takes half as much as it used to for me
Oh my God, I concede
That it means half as much as it used to to me
[Chorus 1]
You read a lot into it
Oh my God, that might be true
And whatcha think you're gonna do
With yourself when there's nothin' for you?
Oh my God, I concede
That it took half as much as it used to for me

[Verse 2]
You say ""There's nothin' new,""
And oh my God, that might be true
So whatcha think you're gonna do
That's worthwhile when there's nothin' new?
You read a lot into it
I never even flipped right through it
So whatcha gonna do with
All this stuff that's scribbled to you?

[Pre-Chorus 2]
Oh my God, I can see
That it means half as much as it used to for me

[Chorus 2]
You read a lot into
What's spoken wasn't spoke anew
And whatcha think your gonna do
When the  second-hand's got a second hand to use?
Oh my God, I can need
And it means half as much it used to to me
[Outro]
You say ""There's nothin' new""
And, oh my God, that might be true
So whatcha think you're gonna do
With yourself when there's nothin' new for you?
Oh my God, I concede
And it takes twice as much it used to for meEmbed"
180,Leaflets Gabe,"Tube-Fruit, All Smiles and Chocolate","Leaflets Gabe Lyrics[Verse 1]
Leaflets club and leaflets Gabe, I know
Life is better at the candy store
Why is life and why is wage? I know
It all gets colder at the North, North Pole

[Chorus]
Ba-ba-ba-pa-ba-ba-ba-ba-ba
Ba-ba-ba-pa-ba-ba-da-ta-da-da-da
Ba-ba-ba-pa-ba-ba-ba-ba-ba
Ba-ba-ba-pa-ba-ba-da-ta-da-da-da

[Verse 2]
Both be long and both are big, I know
Life is better as an animal
Leaflets love and leaflets Gabe, I know
Life is better as a candy store
[Chorus]
Ba-ba-ba-pa-ba-ba-ba-ba-ba
Ba-ba-ba-pa-ba-ba-da-ta-da-da-daEmbed"
181,Novocaine Stain (Live),Interstate 8,"Novocaine Stain (Live) Lyrics[Verse 1]
When I can work out how it was
Then I'll tell you
TV stained my memories
Yeah, I don't fit the shoes

[Verse 2]
Remember through sounds, remember through smells
Remember through colors, remember through towns
With fear and fascination on what was here
And what's replacing them now

[Verse 3]
Interchange plazas, and malls, and crowded chain restaurants
More housing developments go up named after the things they replace
So welcome to Meadow Brook and welcome to Shady Space
Well, it all seems a little abrupt, well no, I don't like this change of paceEmbed"
182,This Is Real Life,Demos Given to Chris Early by Eric Judy,"This Is Real Life LyricsChoices and the voices of their lying lips
Riding in the backseat of your closet ship
Feeding while they're eating all our innocence

And I know that this is real life
In the backyard, on the loveseat
With the TV in the cellar

And I know that this is real life
And I am talking to the sofa in the soda machine
And they're giving up logic that I've never seen though

Won't you let me in on your secret?
In the cellar
You can just blame a fortune teller
I got a reason that I'm giving up
Everything that I ever owned or I've ever got
Or you ever gave me

You wanna know the reason?
Oh, I don't know my friends
You wanna know the meaning?
I don't know the reason

Look at our creation, oh
It's too boring, and then
You want another way back home?
I don't know direction

You want to know a secret?
You're my favorite friend
You want to see me bleeding now?
I'm calling this 'an end'

And you don't do what you want to
And they try to control you
Why don't you laugh in my face again?
You know that I haven't got enough friends
Why don't you spit in my tears again?
You know that this means my endEmbed"
